study,year,location,state,site_altitude,region,fungicide,inc_mean_check,inc_mean,yld_mean_check,yld_mean,yld_mse,yld_sd,design
1,2008/2009,Montividiu,GO,921,North,AACHECK-0,76,76,2265,2265,34780.024,85.57,3
1,2008/2009,Montividiu,GO,921,North,DIMO+BOSC-2,76,28,2265,2925,34780.024,203.47,3
1,2008/2009,Montividiu,GO,921,North,FLUO-2,76,27,2265,3044,34780.024,189.12,3
1,2008/2009,Montividiu,GO,921,North,FLUZ-2,76,26,2265,2965,34780.024,285.09,3
1,2008/2009,Montividiu,GO,921,North,PROCY-2,76,40,2265,2967,34780.024,226.41,3
2,2008/2009,São Miguel do Passa Quatro,GO,1031,North,AACHECK-0,53,53,2257,2257,37608.393,62.99,3
2,2008/2009,São Miguel do Passa Quatro,GO,1031,North,DIMO+BOSC-2,53,7,2257,2666,37608.393,63.87,3
2,2008/2009,São Miguel do Passa Quatro,GO,1031,North,FLUO-2,53,15,2257,2674,37608.393,15.67,3
2,2008/2009,São Miguel do Passa Quatro,GO,1031,North,FLUZ-2,53,8,2257,2694,37608.393,169.26,3
2,2008/2009,São Miguel do Passa Quatro,GO,1031,North,PROCY-2,53,16,2257,2614,37608.393,347.41,3
3,2008/2009,Silvânia,GO,1050,North,AACHECK-0,65,65,2839,2839,32613.335,170.46,3
3,2008/2009,Silvânia,GO,1050,North,DIMO+BOSC-2,65,25,2839,3608,32613.335,87.83,3
3,2008/2009,Silvânia,GO,1050,North,FLUO-2,65,23,2839,3652,32613.335,150.94,3
3,2008/2009,Silvânia,GO,1050,North,FLUZ-2,65,26,2839,3595,32613.335,216.09,3
3,2008/2009,Silvânia,GO,1050,North,PROCY-2,65,25,2839,3517,32613.335,168.54,3
4,2008/2009,Mauá da Serra,PR,1029,South,AACHECK-0,69,69,1893,1893,98805.484,218.32,3
4,2008/2009,Mauá da Serra,PR,1029,South,DIMO+BOSC-2,69,34,1893,2976,98805.484,440.2,3
4,2008/2009,Mauá da Serra,PR,1029,South,FLUO-2,69,30,1893,2298,98805.484,207.55,3
4,2008/2009,Mauá da Serra,PR,1029,South,FLUZ-2,69,26,1893,2769,98805.484,258.18,3
4,2008/2009,Mauá da Serra,PR,1029,South,PROCY-2,69,43,1893,2367,98805.484,268.63,3
5,2008/2009,Nova Ponte,MG,999,North,AACHECK-0,21,21,2476,2476,75093.202,432.58,3
5,2008/2009,Nova Ponte,MG,999,North,DIMO+BOSC-2,21,8,2476,2301,75093.202,266.03,3
5,2008/2009,Nova Ponte,MG,999,North,FLUO-2,21,5,2476,2631,75093.202,251.81,3
5,2008/2009,Nova Ponte,MG,999,North,FLUZ-2,21,7,2476,2585,75093.202,292.55,3
5,2008/2009,Nova Ponte,MG,999,North,PROCY-2,21,9,2476,2576,75093.202,313.06,3
6,2009/2010,Montividiu,GO,921,North,AACHECK-0,90.3,90.3,2460,2460,50030.77,418.32,4
6,2009/2010,Montividiu,GO,921,North,DIMO+BOSC-2,90.3,75.9,2460,3113,50030.77,269.92,4
6,2009/2010,Montividiu,GO,921,North,FLUO-2,90.3,74.7,2460,3106,50030.77,136.62,4
6,2009/2010,Montividiu,GO,921,North,FLUZ-2,90.3,54.1,2460,3370,50030.77,269.46,4
6,2009/2010,Montividiu,GO,921,North,PROCY-2,90.3,66.9,2460,3053,50030.77,105.83,4
7,2009/2010,São Miguel do Passa Quatro,GO,1027,North,AACHECK-0,39.4,39.4,3318,3319,114744.283,110.17,4
7,2009/2010,São Miguel do Passa Quatro,GO,1027,North,DIMO+BOSC-2,39.4,5,3318,3914,114744.283,418.18,4
7,2009/2010,São Miguel do Passa Quatro,GO,1027,North,FLUO-2,39.4,4.4,3318,4040,114744.283,130.28,4
7,2009/2010,São Miguel do Passa Quatro,GO,1027,North,FLUZ-2,39.4,7.8,3318,4041,114744.283,549.42,4
7,2009/2010,São Miguel do Passa Quatro,GO,1027,North,PROCY-2,39.4,8.3,3318,3774,114744.283,608.91,4
8,2009/2010,Água Fria,GO,891,North,AACHECK-0,37.7,37.7,3729,3729,61624.247,87.6,4
8,2009/2010,Água Fria,GO,891,North,DIMO+BOSC-2,37.7,1.1,3729,4090,61624.247,264.18,4
8,2009/2010,Água Fria,GO,891,North,FLUO-2,37.7,3.7,3729,4177,61624.247,428.97,4
8,2009/2010,Água Fria,GO,891,North,FLUZ-2,37.7,5.6,3729,4471,61624.247,352.46,4
8,2009/2010,Água Fria,GO,891,North,PROCY-2,37.7,1,3729,3904,61624.247,266.86,4
9,2009/2010,Campo Verde,MT,985,North,AACHECK-0,43.7,43.7,1833,1833,327154.505,428.68,5
9,2009/2010,Campo Verde,MT,985,North,FLUO-2,43.7,17.2,1833,2224,327154.505,847.99,5
9,2009/2010,Campo Verde,MT,985,North,FLUZ-2,43.7,21.9,1833,2366,327154.505,413.33,5
9,2009/2010,Campo Verde,MT,985,North,PROCY-2,43.7,14.1,1833,2412,327154.505,905.35,5
10,2009/2010,Nova Ponte,MG,1005,North,AACHECK-0,16.5,16.5,2940,2940,80480.89,295.75,4
10,2009/2010,Nova Ponte,MG,1005,North,DIMO+BOSC-2,16.5,NA,2940,3058,80480.89,340.92,4
10,2009/2010,Nova Ponte,MG,1005,North,FLUO-2,16.5,NA,2940,3169,80480.89,114.22,4
10,2009/2010,Nova Ponte,MG,1005,North,FLUZ-2,16.5,4,2940,3207,80480.89,329.05,4
10,2009/2010,Nova Ponte,MG,1005,North,PROCY-2,16.5,7.8,2940,3013,80480.89,413.29,4
11,2009/2010,Uberlândia,MG,947,North,AACHECK-0,32,32,2163,2163,130887.781,418.84,4
11,2009/2010,Uberlândia,MG,947,North,DIMO+BOSC-2,32,2.7,2163,2853,130887.781,258.24,4
11,2009/2010,Uberlândia,MG,947,North,FLUO-2,32,3.4,2163,2997,130887.781,209.5,4
11,2009/2010,Uberlândia,MG,947,North,FLUZ-2,32,4.5,2163,2993,130887.781,139.12,4
11,2009/2010,Uberlândia,MG,947,North,PROCY-2,32,5.5,2163,3110,130887.781,531.6,4
12,2009/2010,Pilar do Sul,SP,800,South,AACHECK-0,55,55,3351,3351,387631.18,327.62,4
12,2009/2010,Pilar do Sul,SP,800,South,DIMO+BOSC-2,55,8.75,3351,4865.5,387631.18,676.69,4
12,2009/2010,Pilar do Sul,SP,800,South,FLUO-2,55,5.25,3351,4669.5,387631.18,768.79,4
12,2009/2010,Pilar do Sul,SP,800,South,FLUZ-2,55,7,3351,4433.5,387631.18,762.45,4
12,2009/2010,Pilar do Sul,SP,800,South,PROCY-2,55,3.25,3351,4780,387631.18,1063.82,4
13,2009/2010,Mauá da Serra,PR,909,South,AACHECK-0,40.6,40.6,1941,1941,127321.956,218.24,4
